#,Company,Symbol,Weight,      Price,Chg,% Chg
185,O'Reilly Automotive Inc.,ORLY,0.11166,   591.65,0,0.00%
186,Electronic Arts Inc.,EA,0.1105,   142.50,1.51,-1.07%
187,Alexion Pharmaceuticals Inc.,ALXN,0.110295,   184.20,0,0.00%
188,PPG Industries Inc.,PPG,0.109528,   171.41,0,0.00%
189,Parker-Hannifin Corporation,PH,0.108358,   311.57,0,0.00%
190,Allstate Corporation,ALL,0.108004,   133.47,0,0.00%
191,Carrier Global Corp.,CARR,0.107401,   48.27,0,0.00%
192,Bank of New York Mellon Corporation,BK,0.106683,   49.93,0,0.00%
193,American International Group Inc.,AIG,0.106105,   46.87,0,0.00%
194,Microchip Technology Incorporated,MCHP,0.105608,   145.42,1.4,-0.97%
195,Constellation Brands Inc. Class A,STZ,0.105583,   227.69,0,0.00%
196,Prudential Financial Inc.,PRU,0.105483,   100.58,0,0.00%
197,Cadence Design Systems Inc.,CDNS,0.104781,   138.50,0,0.00%
198,Sysco Corporation,SYY,0.103728,   76.14,0,0.00%
199,Motorola Solutions Inc.,MSI,0.102803,   224.52,0,0.00%
200,Travelers Companies Inc.,TRV,0.102463,   153.33,0,0.00%
201,Marathon Petroleum Corporation,MPC,0.102341,   58.68,0,0.00%
202,International Flavors & Fragrances Inc.,IFF,0.100569,   147.70,0,0.00%
203,Marriott International Inc. Class A,MAR,0.100167,   142.11,-0.37,(-0.26%)
204,ResMed Inc.,RMD,0.099785,   247.68,0,0.00%
205,Pioneer Natural Resources Company,PXD,0.099778,   158.00,0,0.00%
206,General Mills Inc.,GIS,0.099777,   59.70,0,0.00%
207,Xcel Energy Inc.,XEL,0.099464,   67.67,0,0.00%
208,Cognizant Technology Solutions Corporation Class A,CTSH,0.099226,   68.76,-0.38,(-0.55%)
209,HP Inc.,HPQ,0.098405,   30.04,0,0.00%
210,SBA Communications Corp. Class A,SBAC,0.098348,   330.52,1.19,-0.36%
211,Welltower Inc.,WELL,0.096923,   86.43,0,0.00%
212,TransDigm Group Incorporated,TDG,0.096809,   660.06,0,0.00%
213,Kinder Morgan Inc Class P,KMI,0.09677,   18.67,0,0.00%
214,Paychex Inc.,PAYX,0.096769,   110.50,-1.4,(-1.25%)
215,Discover Financial Services,DFS,0.096695,   122.40,0,0.00%
216,Phillips 66,PSX,0.096539,   82.70,0,0.00%
217,Yum! Brands Inc.,YUM,0.096284,   118.58,0,0.00%
218,Cummins Inc.,CMI,0.096119,   242.70,0,0.00%
219,Fortinet Inc.,FTNT,0.093692,   256.90,0.09,-0.04%
220,Hilton Worldwide Holdings Inc,HLT,0.093512,   126.05,0,0.00%
221,Cintas Corporation,CTAS,0.093347,   388.32,0,0.00%
222,Otis Worldwide Corporation,OTIS,0.092635,   83.82,0,0.00%
223,Walgreens Boots Alliance Inc,WBA,0.091657,   47.47,0.06,-0.13%
224,Aflac Incorporated,AFL,0.091639,   53.35,0,0.00%
225,Rockwell Automation Inc.,ROK,0.091337,   291.20,0,0.00%
226,Mettler-Toledo International Inc.,MTD,0.091099,"   1,435.41",0,0.00%
227,AutoZone Inc.,AZO,0.091041,"   1,564.53",0,0.00%
228,Monster Beverage Corporation,MNST,0.090862,   89.00,-1.24,(-1.37%)
229,Zimmer Biomet Holdings Inc.,ZBH,0.090564,   159.31,0,0.00%
230,Stanley Black & Decker Inc.,SWK,0.090408,   208.53,0,0.00%
231,Archer-Daniels-Midland Company,ADM,0.090325,   60.32,0,0.00%
232,Xilinx Inc.,XLNX,0.089935,   136.05,0.46,-0.34%
233,First Republic Bank,FRC,0.089261,   194.49,0,0.00%
234,Corteva Inc,CTVA,0.087298,   43.45,0,0.00%
235,Williams Companies Inc.,WMB,0.087128,   26.70,0,0.00%
236,Corning Inc,GLW,0.084278,   41.03,0,0.00%
237,Skyworks Solutions Inc.,SWKS,0.084082,   189.80,0.23,-0.12%
238,AMETEK Inc.,AME,0.083904,   135.47,0,0.00%
239,Public Service Enterprise Group Inc,PEG,0.08365,   60.49,0,0.00%
240,ANSYS Inc.,ANSS,0.08329,   353.76,0,0.00%
241,Fastenal Company,FAST,0.083267,   54.90,1.06,-1.97%
242,AvalonBay Communities Inc.,AVB,0.082923,   220.83,0,0.00%
243,Southwest Airlines Co.,LUV,0.082716,   52.84,0,0.00%
244,McKesson Corporation,MCK,0.082,   189.10,0,0.00%
245,Equifax Inc.,EFX,0.081612,   248.54,0,0.00%
246,PACCAR Inc,PCAR,0.0813,   87.50,0,0.00%
247,SVB Financial Group,SIVB,0.081018,   576.00,0.76,-0.13%
248,Verisk Analytics Inc,VRSK,0.080698,   181.00,-0.71,(-0.39%)
249,D.R. Horton Inc.,DHI,0.08064,   89.57,0,0.00%
250,American Water Works Company Inc.,AWK,0.080197,   162.28,0,0.00%
251,WEC Energy Group Inc,WEC,0.079566,   91.84,0,0.00%
252,Willis Towers Watson Public Limited Company,WLTW,0.079076,   228.21,0,0.00%
253,Zebra Technologies Corporation Class A,ZBRA,0.078986,   547.73,0,0.00%
254,Kroger Co.,KR,0.078881,   38.27,0,0.00%
255,Valero Energy Corporation,VLO,0.078527,   72.30,0,0.00%
256,Keysight Technologies Inc,KEYS,0.07846,   155.81,0,0.00%
257,Arthur J. Gallagher & Co.,AJG,0.077877,   140.50,0,0.00%
258,Copart Inc.,CPRT,0.077857,   139.00,0.51,-0.37%
259,Eversource Energy,ES,0.077511,   82.63,0,0.00%
260,CBRE Group Inc. Class A,CBRE,0.077351,   85.83,0,0.00%
261,Ameriprise Financial Inc.,AMP,0.077053,   248.95,0,0.00%
262,State Street Corporation,STT,0.076571,   84.11,0,0.00%
263,Ball Corporation,BLL,0.076507,   84.79,0,0.00%
264,Nucor Corporation,NUE,0.076391,   97.17,0,0.00%
265,West Pharmaceutical Services Inc.,WST,0.075598,   374.19,0,0.00%
266,Equity Residential,EQR,0.075374,   81.71,0,0.00%
267,Laboratory Corporation of America Holdings,LH,0.074008,   281.03,0,0.00%
268,Lennar Corporation Class A,LEN,0.073948,   98.93,0,0.00%
269,Delta Air Lines Inc.,DAL,0.073447,   42.92,0,0.00%
270,Generac Holdings Inc.,GNRC,0.073356,   436.37,0,0.00%
271,Maxim Integrated Products Inc.,MXIM,0.072142,   100.03,0,0.00%
272,Weyerhaeuser Company,WY,0.071677,   35.82,0,0.00%
273,Fifth Third Bancorp,FITB,0.071082,   38.34,0.26,-0.68%
274,V.F. Corporation,VFC,0.071027,   83.07,0,0.00%
275,Hershey Company,HSY,0.070467,   176.75,0,0.00%
276,Kraft Heinz Company,KHC,0.070228,   39.99,0.04,-0.10%
277,Alexandria Real Estate Equities Inc.,ARE,0.070201,   190.55,0,0.00%
278,LyondellBasell Industries NV,LYB,0.069689,   102.73,0,0.00%
279,Synchrony Financial,SYF,0.069391,   48.73,0,0.00%
280,Realty Income Corporation,O,0.069353,   68.87,0,0.00%
281,ViacomCBS Inc. Class B,VIAC,0.068743,   42.61,-0.16,(-0.37%)
282,Consolidated Edison Inc.,ED,0.068722,   73.30,0,0.00%
283,Etsy Inc.,ETSY,0.068216,   194.60,-0.49,(-0.25%)
284,CDW Corp.,CDW,0.068198,   177.98,0,0.00%
285,Occidental Petroleum Corporation,OXY,0.068028,   30.24,0,0.00%
286,ONEOK Inc.,OKE,0.067416,   57.52,0,0.00%
287,Old Dominion Freight Line Inc.,ODFL,0.067253,   260.65,0.07,-0.03%
288,Cerner Corporation,CERN,0.066791,   79.46,-0.11,(-0.14%)
289,Enphase Energy Inc.,ENPH,0.066771,   183.80,0,0.00%
290,Best Buy Co. Inc.,BBY,0.06601,   110.86,0,0.00%
291,International Paper Company,IP,0.065945,   62.24,0,0.00%
292,Kansas City Southern,KSU,0.065327,   273.95,0,0.00%
293,Republic Services Inc.,RSG,0.064712,   112.67,0,0.00%
294,Fortive Corp.,FTV,0.064337,   70.68,0,0.00%
295,Northern Trust Corporation,NTRS,0.063585,   115.55,0,0.00%
296,Dollar Tree Inc.,DLTR,0.063208,   99.51,0,0.00%
297,VeriSign Inc.,VRSN,0.06309,   233.03,0,0.00%
298,Vulcan Materials Company,VMC,0.062676,   174.93,0,0.00%
299,Clorox Company,CLX,0.062562,   180.88,0,0.00%
300,Expedia Group Inc.,EXPE,0.062562,   167.70,-0.04,(-0.02%)
301,Waters Corporation,WAT,0.062158,   369.40,0,0.00%
302,Extra Space Storage Inc.,EXR,0.062069,   173.19,0,0.00%
303,Hess Corporation,HES,0.061743,   84.01,0,0.00%
304,DTE Energy Company,DTE,0.060548,   115.60,0,0.00%
305,United Rentals Inc.,URI,0.060501,   317.48,0,0.00%
306,Garmin Ltd.,GRMN,0.059979,   148.34,-0.47,(-0.32%)
307,Gartner Inc.,IT,0.059921,   256.87,0,0.00%
308,Martin Marietta Materials Inc.,MLM,0.059854,   357.92,0,0.00%
309,Edison International,EIX,0.059682,   58.28,0,0.00%
310,Dover Corporation,DOV,0.059395,   153.46,0,0.00%
