#,Company,Symbol,Weight,      Price,Chg,% Chg
400,Textron Inc.,TXT,0.041171,   67.70,0,0.00%
401,PTC Inc.,PTC,0.041074,   145.14,0,0.00%
402,Masco Corporation,MAS,0.040445,   58.45,0,0.00%
403,ABIOMED Inc.,ABMD,0.040224,   324.77,0,0.00%
404,CenterPoint Energy Inc.,CNP,0.040146,   25.47,0,0.00%
405,Bio-Rad Laboratories Inc. Class A,BIO,0.039646,   675.17,0,0.00%
406,Citrix Systems Inc.,CTXS,0.039321,   116.17,0,0.00%
407,Westinghouse Air Brake Technologies Corporation,WAB,0.038926,   82.85,0,0.00%
408,J.M. Smucker Company,SJM,0.038857,   130.85,0,0.00%
409,Alliant Energy Corp,LNT,0.038852,   56.24,-0.52,(-0.92%)
410,Evergy Inc.,EVRG,0.038382,   61.79,0,0.00%
411,PulteGroup Inc.,PHM,0.038343,   53.23,0,0.00%
412,LKQ Corporation,LKQ,0.037967,   50.97,0,0.00%
413,Leidos Holdings Inc.,LDOS,0.037846,   104.84,0,0.00%
414,Whirlpool Corporation,WHR,0.03774,   225.02,0,0.00%
415,WestRock Company,WRK,0.03729,   52.87,0,0.00%
416,FMC Corporation,FMC,0.037279,   107.66,0,0.00%
417,Advance Auto Parts Inc.,AAP,0.037187,   213.47,0,0.00%
418,DENTSPLY SIRONA Inc.,XRAY,0.037091,   62.42,0,0.00%
419,J.B. Hunt Transport Services Inc.,JBHT,0.037074,   165.04,-0.74,(-0.45%)
420,Brown-Forman Corporation Class B,BF.B,0.036924,   74.12,0,0.00%
421,Hormel Foods Corporation,HRL,0.036691,   47.44,0,0.00%
422,Fortune Brands Home & Security Inc.,FBHS,0.036518,   98.49,0,0.00%
423,American Airlines Group Inc.,AAL,0.035736,   20.89,0,0.00%
424,Lumen Technologies Inc.,LUMN,0.035624,   13.51,0,0.00%
425,Packaging Corporation of America,PKG,0.035315,   138.63,0,0.00%
426,Howmet Aerospace Inc.,HWM,0.035165,   33.95,0,0.00%
427,Atmos Energy Corporation,ATO,0.03494,   98.53,0,0.00%
428,Jack Henry & Associates Inc.,JKHY,0.034651,   167.38,0,0.00%
429,Allegion PLC,ALLE,0.034126,   138.27,0,0.00%
430,Interpublic Group of Companies Inc.,IPG,0.034124,   33.08,0,0.00%
431,Cboe Global Markets Inc,CBOE,0.034089,   118.79,0,0.00%
432,Hasbro Inc.,HAS,0.033851,   97.98,0,0.00%
433,Iron Mountain Inc.,IRM,0.03362,   43.74,0,0.00%
434,C.H. Robinson Worldwide Inc.,CHRW,0.033579,   93.17,0,0.00%
435,Snap-on Incorporated,SNA,0.033174,   227.65,0,0.00%
436,Quanta Services Inc.,PWR,0.033033,   89.79,0,0.00%
437,Loews Corporation,L,0.032815,   54.71,0,0.00%
438,Fox Corporation Class A,FOXA,0.032636,   36.45,0,0.00%
439,Live Nation Entertainment Inc.,LYV,0.032227,   83.66,0,0.00%
440,Wynn Resorts Limited,WYNN,0.032135,   113.90,0.03,-0.03%
441,Host Hotels & Resorts Inc.,HST,0.03205,   17.30,0.19,-1.11%
442,Universal Health Services Inc. Class B,UHS,0.032008,   153.95,0,0.00%
443,Lamb Weston Holdings Inc.,LW,0.031866,   80.82,0,0.00%
444,F5 Networks Inc.,FFIV,0.031356,   191.75,0.89,-0.47%
445,Mohawk Industries Inc.,MHK,0.031171,   198.95,0,0.00%
446,Pentair plc,PNR,0.031013,   69.30,0,0.00%
447,Tapestry Inc.,TPR,0.030688,   41.90,0,0.00%
448,BorgWarner Inc.,BWA,0.030473,   47.80,0,0.00%
449,Henry Schein Inc.,HSIC,0.029523,   76.81,0,0.00%
450,Lincoln National Corporation,LNC,0.029322,   62.01,0,0.00%
451,Penn National Gaming Inc.,PENN,0.029285,   73.42,0.1,-0.14%
452,CF Industries Holdings Inc.,CF,0.02906,   50.66,0,0.00%
453,Mosaic Company,MOS,0.029021,   31.79,0,0.00%
454,W. R. Berkley Corporation,WRB,0.028394,   75.62,0,0.00%
455,Marathon Oil Corporation,MRO,0.027963,   13.23,-0.03,(-0.23%)
456,NRG Energy Inc.,NRG,0.027509,   41.97,0,0.00%
457,DISH Network Corporation Class A,DISH,0.027373,   41.63,0.13,-0.30%
458,Newell Brands Inc,NWL,0.027371,   27.04,0.01,-0.04%
459,Regency Centers Corporation,REG,0.02735,   65.01,0,0.00%
460,DXC Technology Co.,DXC,0.027288,   39.73,0,0.00%
461,Molson Coors Beverage Company Class B,TAP,0.027148,   53.18,0,0.00%
462,Robert Half International Inc.,RHI,0.026768,   88.45,0,0.00%
463,Everest Re Group Ltd.,RE,0.026579,   247.86,0,0.00%
464,Norwegian Cruise Line Holdings Ltd.,NCLH,0.026579,   27.71,0.22,-0.80%
465,News Corporation Class A,NWSA,0.026531,   25.52,0,0.00%
466,NiSource Inc,NI,0.026366,   25.14,0,0.00%
467,A. O. Smith Corporation,AOS,0.02605,   70.75,0,0.00%
468,Invesco Ltd.,IVZ,0.025919,   26.33,0,0.00%
469,Western Union Company,WU,0.025783,   23.31,0,0.00%
470,Assurant Inc.,AIZ,0.025602,   156.99,0,0.00%
471,Pinnacle West Capital Corporation,PNW,0.0256,   83.65,0,0.00%
472,Campbell Soup Company,CPB,0.025459,   45.74,0.1,-0.22%
473,Comerica Incorporated,CMA,0.025307,   69.25,0,0.00%
474,Sealed Air Corporation,SEE,0.024694,   58.40,0,0.00%
475,Juniper Networks Inc.,JNPR,0.024462,   27.62,0,0.00%
476,Kimco Realty Corporation,KIM,0.024248,   21.21,0,0.00%
477,Globe Life Inc.,GL,0.023845,   94.46,0,0.00%
478,DaVita Inc.,DVA,0.023828,   122.09,0,0.00%
479,Nielsen Holdings Plc,NLSN,0.02328,   24.31,0,0.00%
480,Franklin Resources Inc.,BEN,0.023194,   32.15,0,0.00%
481,Huntington Ingalls Industries Inc.,HII,0.022416,   206.22,0,0.00%
482,Zions Bancorporation N.A.,ZION,0.022383,   52.51,0.22,-0.42%
483,Federal Realty Investment Trust,FRT,0.021744,   118.05,0,0.00%
